node_id,row,col,degree,type,bfs_depth_from_root
2245,593.0,95.0,3,junction,17
2246,593.0,158.0,1,endpoint,14
2247,593.25,181.0,3,junction,12
2248,593.3333333333334,255.33333333333334,3,junction,7
2249,593.0,272.0,1,endpoint,7
2250,594.6666666666666,218.66666666666666,3,junction,9
2251,594.6666666666666,380.6666666666667,3,junction,4
2252,594.25,680.0,3,junction,19
2253,595.75,70.0,3,junction,20
2254,595.0,576.0,3,junction,13
2255,595.3333333333334,663.3333333333334,3,junction,19
2256,596.0,87.0,3,junction,18
2257,596.5,231.5,2,junction,9
2258,596.0,443.0,1,endpoint,11
2259,596.3333333333334,587.3333333333334,3,junction,15
2260,597.0,108.0,1,endpoint,19
2261,598.625,112.5,3,junction,17
2262,597.0,686.0,1,endpoint,21
2263,598.6666666666666,180.66666666666666,3,junction,12
2264,599.5,305.0,4,junction,5
2265,598.0,631.0,3,junction,16
2266,599.75,108.0,3,junction,18
2267,600.0,230.75,3,junction,10
2268,599.0,311.0,1,endpoint,6
2269,599.75,531.0,3,junction,11
2270,599.25,563.0,3,junction,12
2271,600.0,66.0,1,endpoint,21
2272,600.0,73.0,1,endpoint,21
2273,601.0,440.4,2,junction,10
2274,601.0,103.0,3,junction,18
2275,601.75,149.0,3,junction,14
2276,602.5714285714286,248.57142857142858,3,junction,8
2277,601.0,668.0,1,endpoint,20
2278,602.0,177.0,1,endpoint,13
2279,602.0,589.0,1,endpoint,16
2280,603.0,297.0,1,endpoint,6
2281,604.0,497.25,3,junction,10
2282,604.0,85.0,3,junction,19
2283,604.25,138.0,3,junction,15
2284,604.6666666666666,636.3333333333334,3,junction,17
2285,605.0,654.0,1,endpoint,18
2286,606.0,673.4,2,junction,18
2287,607.5714285714286,235.85714285714286,4,junction,9
2288,606.0,257.0,1,endpoint,9
2289,607.0,62.0,1,endpoint,21
2290,607.0,469.0,1,endpoint,10
2291,608.0,644.75,3,junction,17
2292,608.3333333333334,75.33333333333333,3,junction,20
2293,608.75,205.0,3,junction,10
2294,610.5714285714286,116.0,4,junction,17
2295,609.0,369.0,1,endpoint,6
2296,609.0,635.0,1,endpoint,18
2297,610.0,135.0,3,junction,16
2298,610.0,226.0,1,endpoint,10
2299,610.0,285.0,1,endpoint,7
2300,610.6666666666666,471.3333333333333,3,junction,9
2301,610.3333333333334,667.6666666666666,3,junction,17
2302,611.0,197.0,3,junction,11
2303,611.3333333333334,444.3333333333333,3,junction,9
2304,613.0,236.75,3,junction,10
2305,613.0,233.0,1,endpoint,11
2306,616.0,94.875,5,junction,18
2307,614.75,294.0,3,junction,6
2308,615.0,117.0,1,endpoint,18
2309,615.6666666666666,306.6666666666667,3,junction,5
2310,616.0,648.25,3,junction,16
2311,616.0,166.0,1,endpoint,15
2312,616.3333333333334,280.6666666666667,3,junction,7
2313,618.6666666666666,667.3333333333334,3,junction,18
2314,619.3333333333334,265.6666666666667,3,junction,8
2315,619.6666666666666,313.3333333333333,3,junction,4
2316,620.25,332.0,2,junction,3
2317,619.0,670.0,1,endpoint,19
2318,621.3333333333334,82.33333333333333,3,junction,19
2319,621.0,193.0,3,junction,12
2320,621.75,238.0,3,junction,10
2321,621.0,281.0,1,endpoint,8
2322,622.75,137.0,3,junction,16
2323,623.25,243.0,3,junction,9
2324,624.3333333333334,142.66666666666666,3,junction,15
2325,624.6666666666666,311.6666666666667,3,junction,5
2326,625.3333333333334,336.3333333333333,3,junction,2
2327,625.6666666666666,645.6666666666666,3,junction,15
2328,625.0,664.0,3,junction,17
2329,626.0,82.0,1,endpoint,20
2330,626.3333333333334,182.66666666666666,3,junction,13
2331,627.6666666666666,212.5,4,junction,11
2332,627.6666666666666,168.33333333333334,3,junction,14
2333,627.6666666666666,438.3333333333333,3,junction,8
2334,627.0,666.0,1,endpoint,18
2335,628.0,268.0,1,endpoint,9
2336,628.0,421.0,3,junction,6
2337,629.75,94.0,3,junction,19
2338,629.3333333333334,221.66666666666666,3,junction,11
2339,629.8,263.4,2,junction,9
2340,629.3333333333334,590.6666666666666,3,junction,13
2341,630.5,127.5,2,junction,17
2342,630.75,270.25,2,junction,8
2343,630.0,295.0,1,endpoint,7
2344,630.0,426.0,1,endpoint,7
2345,630.0,433.0,1,endpoint,8
2346,631.0,631.25,3,junction,14
2347,631.0,116.0,1,endpoint,19
2348,631.3333333333334,652.3333333333334,3,junction,16
2349,632.0,104.0,1,endpoint,20
2350,632.0,435.0,3,junction,7
2351,633.0,118.0,3,junction,18
2352,633.25,415.0,3,junction,5
2353,633.75,594.0,3,junction,14
2354,634.3333333333334,154.33333333333334,3,junction,15
2355,634.6666666666666,295.3333333333333,3,junction,6
2356,636.0,92.0,1,endpoint,20
2357,636.0,103.0,1,endpoint,21
2358,637.0,629.75,3,junction,15
2359,637.6666666666666,652.3333333333334,3,junction,17
2360,639.0,112.75,3,junction,19
2361,638.6666666666666,414.6666666666667,3,junction,4
2362,639.0,430.75,3,junction,6
2363,638.0,655.0,1,endpoint,18
2364,639.8,108.0,4,junction,20
2365,639.6666666666666,286.3333333333333,3,junction,7
2366,639.6666666666666,397.3333333333333,3,junction,3
2367,639.0,581.0,1,endpoint,15
2368,640.3333333333334,151.66666666666666,3,junction,16
2369,641.75,102.25,1,junction,21
2370,641.0,420.0,3,junction,5
2371,641.0,606.0,1,endpoint,18
2372,642.0,193.0,1,endpoint,14
2373,642.25,220.25,2,junction,12
2374,642.0,247.0,1,endpoint,11
2375,642.25,250.0,3,junction,10
2376,642.0,324.0,1,endpoint,3
2377,644.1428571428571,635.0,3,junction,16
2378,643.6666666666666,151.66666666666666,3,junction,17
2379,643.5,181.5,2,junction,14
2380,644.0,108.0,1,endpoint,21
2381,645.0,116.0,1,endpoint,20
2382,646.6,168.2,2,junction,15
2383,645.3333333333334,393.3333333333333,3,junction,2
2384,645.0,434.0,1,endpoint,7
2385,646.0,606.8,3,junction,17
2386,646.0,128.0,1,endpoint,18
2387,648.0,202.75,3,junction,12
2388,648.0,196.0,3,junction,13
2389,648.0,603.0,1,endpoint,18
2390,650.0,235.6,2,junction,10
2391,650.0,132.0,3,junction,17
2392,650.5,271.5,2,junction,8
2393,650.0,434.0,1,endpoint,6
2394,651.0,314.0,1,endpoint,6
2395,654.0,248.5,4,junction,9
2396,654.75,154.0,3,junction,16
2397,654.6666666666666,235.33333333333334,3,junction,10
2398,656.0,124.0,1,endpoint,18
2399,657.0,207.25,3,junction,12
2400,658.0,221.42857142857142,4,junction,11
2401,658.3333333333334,160.66666666666666,3,junction,15
2402,660.0,250.0,1,endpoint,10
2403,660.75,388.0,3,junction,1
2404,662.0,133.75,3,junction,17
2405,661.0,391.0,1,endpoint,0
2406,664.0,123.0,1,endpoint,18
2407,665.6,181.0,4,junction,14
2408,668.0,218.75,3,junction,12
2409,669.0,202.0,3,junction,13
2410,672.0,221.0,1,endpoint,13
2411,674.0,171.0,1,endpoint,15
